filename,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,label
blues.00016,-233.7591,120.6751,-3.1748,39.5185,3.8183,18.8371,-3.6778,4.4331,-14.9655,17.5782,1.8419,2.5494,-1.2332,blues
blues.00017,-245.6994,140.4911,-2.7898,60.4314,18.9191,9.8296,3.5591,0.5154,-16.3877,6.6275,7.2592,-4.0144,1.6021,blues
blues.00018,-252.4930,104.9371,15.3323,42.6670,6.7831,21.6057,-1.2978,5.6754,-16.6326,12.1731,-1.9473,1.9508,-0.8903,blues
blues.00019,-236.6568,138.4093,-4.9129,47.6292,5.1842,8.8766,0.5138,-3.8047,-14.9889,10.4171,-0.3336,0.7760,1.7773,blues
blues.00020,-230.3577,127.0783,7.1234,39.7749,1.9210,17.4118,-5.6194,8.2494,-18.1169,13.8351,-3.7699,2.5720,-4.3183,blues
blues.00021,-264.7226,138.8685,11.1941,48.5043,14.9308,20.5803,3.2070,1.2490,-15.8465,15.9785,3.3691,-1.5108,1.9059,blues
blues.00022,-233.9563,136.1457,3.3244,48.9285,8.7154,13.9660,5.3666,0.3995,-13.4699,16.8777,5.1481,-2.2498,3.9479,blues
blues.00023,-227.2253,137.7881,-14.4996,63.5609,5.6177,11.9581,1.9080,-1.8894,-7.6042,-2.4733,-2.8910,-9.4334,-10.9292,blues
blues.00024,-274.3658,130.4113,-6.3513,70.4030,13.2697,9.4738,7.7353,-1.2350,-0.5724,-2.3034,3.7735,0.0756,-0.9390,blues
blues.00025,-249.2846,131.0047,0.6714,66.7039,17.9148,4.6217,6.6131,1.2425,1.4126,-1.5898,-0.9819,-3.5758,-2.9270,blues
blues.00026,-284.8484,108.7495,9.1297,51.2513,18.1237,7.6328,8.7754,2.3654,0.0193,2.2369,4.1906,-3.3046,1.6140,blues
blues.00027,-228.1671,130.3397,-23.3107,70.2002,1.1293,7.5891,0.9034,1.9944,-6.1588,-9.3807,-2.5636,-4.5218,-0.2700,blues
blues.00028,-248.9622,139.0318,-16.2400,57.1162,20.1924,10.1604,4.5761,0.3379,-7.8628,-3.4702,-2.6488,-2.8427,-0.8948,blues
blues.00029,-233.7151,101.1990,17.6509,23.7406,2.0799,25.9389,-16.9690,15.0796,-22.2774,4.3854,-23.1976,-6.0366,-5.0571,blues
blues.00030,-206.9381,117.7918,23.2650,28.3000,-1.1023,18.8672,-21.9716,17.8480,-25.5902,2.1351,-17.7773,-8.0106,-17.6201,blues
blues.00031,-221.8435,110.8524,18.6376,30.9284,3.2962,22.5900,-20.4066,12.1230,-26.3305,-4.3541,-26.3839,-13.0322,-12.6550,blues
blues.00032,-288.7151,105.9264,18.8200,23.6745,5.7002,25.5591,-13.4505,12.4295,-11.9612,1.5895,-15.6231,-6.6388,-11.6858,blues
blues.00033,-238.9512,108.7054,34.1458,30.2111,-0.5026,27.2930,-21.3995,14.1719,-24.5123,-1.8843,-28.0575,-11.2557,-16.4644,blues
blues.00034,-217.1549,105.7845,15.6065,25.2598,-1.4458,30.1995,-17.7174,17.3188,-27.2188,4.3367,-20.0620,-10.7008,-14.2326,blues
blues.00035,-171.7733,120.2936,15.3404,21.1076,-5.3850,24.1954,-24.1375,18.5448,-22.3485,1.3195,-20.7632,-4.9819,-17.1081,blues
blues.00036,-200.1993,116.3631,18.0474,25.2636,0.3101,24.1773,-22.2235,11.1835,-26.8463,-7.6374,-24.8561,-12.0123,-17.0160,blues
blues.00037,-328.5607,102.7285,19.8366,26.7060,7.1454,22.7280,-6.9517,12.8170,-10.7279,-0.4247,-12.3788,-8.8983,-9.2085,blues
blues.00038,-192.6575,111.1571,21.3610,26.3994,-0.6443,23.4915,-25.4699,16.9231,-16.9757,5.7756,-25.7384,-5.0520,-17.6275,blues
blues.00039,-301.7305,111.5429,21.9002,16.1511,8.2007,22.0844,-8.5977,1.4888,-17.0714,-8.3346,-17.0084,-10.5738,-15.6796,blues
blues.00040,-110.2480,90.7029,-2.5258,74.0579,-11.7533,39.2077,-13.1606,20.5421,-17.1531,12.8126,-21.4301,5.9520,-8.0233,blues
blues.00041,-107.1703,88.4882,-4.1694,55.4777,-8.0139,38.4152,-6.4100,28.5727,-19.8216,13.2381,-19.2531,12.0724,-4.5784,blues
blues.00042,-159.5517,69.7976,-4.3990,76.8466,3.9188,45.1732,-4.8550,32.2048,-9.7960,7.8127,-21.8211,9.6910,-2.5877,blues
blues.00043,-109.1060,100.6088,-8.6565,47.3504,-6.5583,39.6076,-8.5156,29.5655,-16.5855,13.1639,-24.2093,6.5766,-8.6472,blues
blues.00044,-109.5126,86.9214,-8.5942,64.4895,-6.3015,43.6435,-8.2908,28.5458,-14.0827,8.1286,-21.4881,11.0883,-5.0917,blues
blues.00045,-163.2168,89.7788,12.9763,80.7023,3.6654,39.7387,-5.4067,26.4937,-13.1699,2.7049,-20.5501,6.0148,-2.9037,blues
blues.00046,-182.5738,90.6676,14.1245,67.5492,2.6787,38.4298,-8.4107,24.1296,-13.7900,4.8331,-16.6852,5.8176,-5.1467,blues
blues.00047,-149.9403,93.6509,6.3551,71.5035,-8.1215,36.1912,-9.7753,17.6478,-21.1075,-0.1397,-22.2019,5.4219,-7.4586,blues
blues.00048,-106.3554,102.6563,-20.1461,59.3489,-9.9484,33.6874,-14.1713,23.5215,-13.3136,15.9905,-18.9235,7.8131,-7.7854,blues
blues.00049,-256.0167,110.8559,21.5258,67.5419,4.3060,43.0866,-4.4949,10.4164,-8.6946,1.6574,-20.5870,-2.4519,-7.1195,blues
blues.00050,-82.9997,107.0858,-25.3354,57.1045,0.0855,34.6826,-11.0551,20.5432,-11.1945,14.8196,-10.2333,12.5460,-9.7537,blues
blues.00051,-55.6075,114.9316,-37.0319,64.8895,-7.1417,15.2379,-16.2327,18.6316,-9.7523,21.4543,-5.6489,12.7881,-16.5305,blues
blues.00052,-225.2301,117.6269,-14.5394,64.7960,12.9087,19.0374,10.6662,9.8867,-2.3966,11.6851,1.5415,3.0658,-7.6271,blues
blues.00053,-76.6979,105.7382,-43.1722,60.9543,-8.7572,21.2241,-12.8558,18.5963,-11.3960,14.5385,-6.0481,12.7227,-9.3652,blues
blues.00054,-57.9196,108.9903,-36.2076,64.0455,1.4388,26.3116,-17.4778,20.4253,-9.5405,18.1697,-6.0602,13.8640,-11.2911,blues
blues.00055,-98.7434,104.7936,-35.0983,60.7018,-2.8332,22.2345,-7.8312,19.0359,-11.5736,17.0185,-5.3762,12.2010,-9.9564,blues
blues.00056,-145.2810,102.8066,-12.5294,57.0059,2.2629,26.5854,-4.2885,17.3285,-7.9934,15.2295,-6.9347,7.4588,-10.4685,blues
blues.00057,-92.7035,115.3191,-35.0680,57.8772,1.8524,26.6126,-14.5370,22.1302,-8.2033,11.0209,-5.6476,7.2775,-10.2059,blues
blues.00058,-95.4172,105.2209,-26.9414,60.8090,-4.8364,21.5342,-13.5092,12.1241,-20.2291,12.1422,-5.2252,10.2617,-9.4437,blues
blues.00059,-86.2372,91.9613,-23.4174,68.2625,-3.8877,22.7472,-9.8999,16.8901,-11.3919,18.4315,-7.0117,10.7620,-11.9461,blues
blues.00060,-67.7331,111.7073,-34.6387,61.3144,0.0526,30.5570,-12.6879,21.1549,-13.1193,16.2771,-6.3271,12.3006,-12.4683,blues
blues.00061,-82.5050,94.1534,-27.1015,75.6622,-27.5137,35.5713,-20.2908,25.1109,-15.3606,11.3444,-13.3934,8.1386,-8.4971,blues
blues.00062,-144.8915,95.7112,-21.6058,49.6189,-29.8696,29.3459,-18.8420,17.8884,-9.6632,5.5082,-9.5476,6.3534,-21.0796,blues
blues.00063,-129.1265,72.0825,-7.7536,49.2427,-32.7153,21.5951,-27.3606,14.9916,-10.2491,12.4198,-17.0258,7.1118,-18.0060,blues
blues.00064,-85.1088,88.7997,-16.3129,59.2268,-35.9764,14.3888,-22.2948,9.6542,-14.8185,11.1751,-14.7997,8.4729,-19.5853,blues
blues.00065,-118.3266,74.8702,-19.8653,46.9524,-32.5469,23.8253,-26.3500,17.6840,-13.8148,11.9376,-17.8849,7.5343,-22.8926,blues
blues.00066,-116.5713,97.4171,-13.8755,48.9602,-22.5835,27.7484,-20.2332,18.6307,-14.6308,8.4750,-16.6333,11.0139,-13.8593,blues
blues.00067,-95.4268,101.3834,-20.6669,48.6668,-30.2402,20.8041,-18.2858,14.1329,-12.7930,13.4367,-14.0670,7.7266,-19.2104,blues
blues.00068,-113.1753,88.7322,-8.9296,49.4832,-34.5899,15.8606,-17.7423,14.7158,-11.1979,15.3699,-15.0757,8.7536,-18.6287,blues
blues.00069,-121.4490,96.0805,-19.5898,48.0302,-38.7753,24.7597,-32.9304,8.0970,-17.8081,6.1149,-19.9838,6.8023,-19.3270,blues
blues.00070,-133.0160,105.7345,-22.1500,41.8311,-26.9846,19.1159,-26.5625,19.2308,-15.3380,6.9865,-10.8087,6.7964,-11.7252,blues
blues.00071,-89.3549,93.8004,-14.5601,54.3886,-33.5030,19.4239,-19.7610,13.0316,-13.8615,14.6153,-14.9680,10.5975,-18.0222,blues
blues.00072,-118.6852,87.6120,6.5615,45.0977,-38.8903,20.8271,-26.8443,13.8027,-17.2250,5.1033,-15.7034,3.9849,-27.5231,blues
blues.00073,-30.0982,103.7325,-19.7380,56.4156,-12.6988,20.1896,-17.3375,16.2899,-18.4410,8.9193,-11.6494,11.2164,-8.8384,blues
blues.00074,-55.9769,87.8477,-1.6107,41.1991,-5.6179,27.7894,-23.9893,21.7777,-18.4191,12.3237,-13.7125,11.8520,-3.9711,blues
blues.00075,-86.4774,92.6989,-15.3259,54.0539,0.8954,31.5712,-14.6036,23.3178,-14.9642,15.3328,-7.0432,12.1785,-6.0861,blues
blues.00076,-52.6972,74.4334,-18.6968,56.3124,-3.9390,31.9853,-16.4662,22.4031,-12.2579,27.2124,-9.2489,7.7854,-10.5684,blues
blues.00077,-28.9512,104.5178,-30.9715,38.1585,-8.0016,30.8861,-20.6042,25.8161,-12.9627,16.9378,-12.2704,10.7824,-10.5573,blues
blues.00078,-2.5104,101.2553,-33.9226,41.5252,-13.8030,31.9179,-21.8688,24.4657,-15.8693,15.8005,-14.3624,12.5099,-13.3690,blues
blues.00079,-3.5548,92.9209,-25.0784,45.1747,-10.8520,31.8625,-18.0391,28.6245,-10.2196,14.6668,-14.9005,14.7355,-15.5995,blues
blues.00080,-54.6833,119.4745,-34.8556,37.5355,-15.8733,22.0690,-14.6514,18.5197,-9.6339,11.2565,-11.7215,11.5381,-6.4249,blues
blues.00081,-26.9775,107.3202,-46.8307,40.9237,-21.4641,24.8297,-18.9305,15.2692,-15.0491,12.2651,-15.2317,14.3368,-13.8274,blues
blues.00082,-29.3265,108.6462,-25.5489,38.4524,-18.3090,21.7870,-25.1329,22.3779,-17.5826,14.6640,-12.0765,5.4758,-7.6730,blues
blues.00083,-19.8508,98.8889,-24.4762,49.5855,-16.1992,30.1986,-18.0271,27.5583,-11.4088,14.8737,-8.9187,11.6711,-10.8943,blues
blues.00084,-38.9742,112.0642,-31.8223,38.2363,-6.3249,23.3233,-18.7735,23.9347,-10.9342,13.2409,-14.3739,13.3260,-10.9192,blues
blues.00085,-180.1882,131.4489,0.5903,43.1463,14.1394,25.6251,-5.3112,12.0267,-13.5406,-1.1034,-7.6059,2.7169,0.7826,blues
blues.00086,-212.7622,139.0497,9.4534,35.4475,12.7070,20.4154,-5.5783,10.8806,-8.7355,8.0584,0.1682,2.6465,-1.0293,blues
blues.00087,-155.5588,125.6453,1.6011,45.8163,0.9203,25.3606,-10.7865,15.5523,-11.9123,1.2670,-6.6613,-0.7979,-7.7417,blues
blues.00088,-194.2664,151.8695,-1.2119,39.1913,16.5869,18.2509,-1.3982,14.8753,-11.6212,2.4476,-5.0825,3.9397,-0.8977,blues
blues.00089,-346.9693,139.2731,24.1479,22.2099,18.7040,11.6690,9.0338,6.9459,-2.0199,5.4189,1.6742,-2.3526,3.1986,blues
blues.00090,-177.5723,115.3873,9.9799,54.0346,7.6251,28.3034,-9.0405,20.0456,-15.0403,6.2114,-5.6918,1.3877,-5.8224,blues
blues.00091,-236.2798,161.6895,-1.1508,27.2633,9.5977,20.6087,0.2330,13.7956,-0.5078,10.1738,-4.4578,5.5118,-3.7248,blues
blues.00092,-332.4127,128.0675,28.9112,41.8193,31.2651,23.3226,5.8155,9.0093,-3.8759,3.7324,-0.8627,-0.4328,1.5098,blues
blues.00093,-350.4347,169.5400,31.8113,16.6838,28.7069,19.2516,7.8646,10.0337,4.7316,2.9131,3.9221,1.8255,-5.9688,blues
blues.00094,-206.2640,126.6166,10.5993,43.2179,12.5124,19.4337,0.3637,12.7448,-4.5686,4.0517,-4.4078,3.6576,-1.4462,blues
blues.00095,-130.5510,139.9589,-1.2859,39.3192,-6.3400,19.7734,-11.2112,27.2435,-16.5490,7.0359,-1.1956,1.6025,-6.6393,blues
blues.00096,-314.5492,139.9153,11.9028,30.1425,-7.5473,14.9188,-2.7081,6.7304,-6.3643,2.8121,-11.7298,2.0871,-11.4379,blues
blues.00097,-148.6404,145.7819,-9.3682,48.4434,10.5608,17.9981,-2.6286,16.9484,-11.5059,8.7161,-8.1733,3.2157,-0.6648,blues
blues.00098,-90.6433,100.0912,-23.9290,52.5930,-20.9211,31.4920,-11.2157,20.0784,-10.8938,17.5514,-14.0898,12.9849,-11.4291,blues
blues.00099,-177.2296,136.2388,-26.8989,36.3773,-18.7508,20.9045,-1.7669,3.0081,-5.5991,5.6432,-8.1052,5.6507,-10.7831,blues
classical.00000,-268.1955,135.6920,-34.0514,25.6155,-12.9776,17.9030,-9.9903,5.6307,-14.1426,7.4903,-3.9693,8.2586,-1.3353,classical
classical.00001,-324.0612,133.5946,-25.0447,24.5526,-11.9470,17.6676,-5.5243,1.7111,-10.5771,-0.8498,-7.8081,3.5254,5.0488,classical
classical.00002,-235.2537,141.1100,-34.6707,30.9666,-16.3800,23.1108,-11.0301,7.6387,-19.0119,4.2194,-11.8276,8.9118,-1.4316,classical
classical.00003,-326.8611,127.4024,-30.6069,37.4582,-5.3008,20.8200,-1.7748,-4.6135,-4.0447,5.2241,-0.6531,2.7940,7.2354,classical
classical.00004,-259.9151,118.9502,-35.6175,31.9637,-16.5258,10.6165,-15.6539,7.4171,-5.8223,8.2686,-17.9820,-1.1855,-6.3558,classical
classical.00005,-264.2930,138.1752,-30.0837,37.8232,-7.1712,6.7608,-11.7936,4.7053,-9.8150,5.8504,-9.5599,2.6793,-4.7826,classical
classical.00006,-295.7746,134.5388,-22.4296,40.7441,-5.8753,9.2556,-11.8645,6.2861,-8.8563,4.3939,-9.3722,4.0629,1.6454,classical
classical.00007,-286.7419,135.9332,-24.4394,36.6454,-6.2309,6.9499,-8.1590,3.8318,-4.3919,6.4255,-4.1250,1.5407,-4.3407,classical
classical.00008,-292.0604,127.7626,-29.8942,37.4216,-9.5502,5.1114,-13.8128,7.0285,-7.0258,6.4967,-9.9023,4.7063,0.3692,classical
classical.00009,-356.1059,139.8127,-6.2786,43.1774,-8.8518,11.0479,-8.3751,4.4196,-8.2844,8.6763,-8.1350,3.4287,-1.4394,classical
classical.00010,-314.9979,128.7146,-28.9227,30.8343,-8.9910,7.9902,-9.8509,1.4329,-8.9790,6.0665,-3.3030,7.6131,3.8018,classical
classical.00011,-385.3195,177.1908,-9.3191,24.3817,5.8183,-4.5687,-6.3494,-6.9730,-4.1344,3.8622,-0.3356,-0.9247,-3.6461,classical
classical.00012,-362.7193,143.9242,-19.0012,30.6401,1.0393,0.2539,-7.9749,-3.8637,-8.9131,3.2662,-4.4283,3.6455,4.9233,classical
classical.00013,-343.1076,140.1202,-20.9249,32.3244,-3.6849,2.9391,-10.6730,0.3101,-5.7998,7.6850,-3.6724,2.5573,-3.4928,classical
classical.00014,-324.5988,147.8233,-31.9174,27.3921,-4.4892,-4.1733,-12.5801,-5.1482,-7.7332,0.8269,-8.1884,-0.8407,0.9933,classical
classical.00015,-449.5358,124.9704,-19.8600,27.5231,-5.7642,2.1968,-6.5862,10.5844,3.3470,14.3802,1.9805,5.2540,4.4197,classical
classical.00016,-482.5862,154.8757,-5.0461,29.7365,-1.8723,8.2196,-4.7820,9.6482,-3.3444,4.5446,-10.0961,-0.6560,-2.4551,classical
classical.00017,-311.5872,148.7119,-33.4661,10.3189,-12.8511,1.2148,-12.8902,0.7992,-9.7184,2.0351,-5.1171,6.7263,4.6005,classical
classical.00018,-405.6074,145.7243,-0.8568,23.0620,9.2140,-2.6400,-5.7446,-2.0682,-0.6291,6.7456,2.7837,2.4439,5.0865,classical
classical.00019,-475.7864,141.4975,-8.4781,34.0080,0.5254,6.0505,-0.0084,9.5392,2.1637,7.1029,-8.0585,-0.1118,0.7686,classical
classical.00020,-300.8873,161.1388,-24.2398,27.9492,-2.8393,2.3620,-11.2419,0.2078,-6.8126,6.0848,-8.1309,-1.8219,-4.1138,classical
classical.00021,-278.1662,147.9115,-31.5660,20.3655,-9.5772,-6.2372,-13.5985,-0.6614,-7.2646,1.0141,-11.7513,-0.9714,-2.2172,classical
classical.00022,-278.7974,160.0293,-28.4092,23.0294,-2.7001,3.0025,-11.3024,-0.5204,-11.3561,3.1751,-5.0799,4.3481,-4.0805,classical
classical.00023,-406.8507,163.1085,-2.4038,32.4176,7.9501,9.6269,-5.4510,9.5007,-3.0604,10.1935,-10.3524,-5.3953,-8.0494,classical
classical.00024,-223.1387,163.2473,-34.4071,24.1675,-10.2896,3.2233,-12.8686,0.7978,-14.2681,1.6681,-10.1410,0.2351,-4.5472,classical
classical.00025,-221.2801,173.3295,-37.4568,24.3635,-8.6847,3.3894,-12.8465,1.0835,-15.3268,0.4286,-9.6247,2.2924,-4.4907,classical
classical.00026,-319.2237,143.6859,-31.1756,10.9342,-5.5424,-4.2527,-8.9386,-5.5913,-8.0191,2.3341,-4.4669,-0.3283,0.9558,classical
classical.00027,-366.2355,181.6232,-5.5185,26.9955,-4.8175,4.6051,-10.5303,0.1522,-11.1317,3.5745,-10.3356,-1.0859,-4.6028,classical
classical.00028,-228.9131,153.9326,-30.7072,20.7923,-6.1087,1.1750,-10.7882,-3.8675,-11.6019,0.8687,-8.3043,-0.7124,-3.0771,classical
classical.00029,-297.1060,130.2621,-30.6016,27.4827,-7.0763,1.9828,-11.1443,4.7473,-8.7777,5.4115,-5.3899,4.4598,1.7396,classical
classical.00030,-315.7706,149.6737,-30.5446,23.2113,-8.6831,-10.0980,-15.7302,-4.0418,-7.6470,0.0470,-11.1391,-7.6679,-5.8671,classical
classical.00031,-374.0401,172.4773,6.4304,20.1018,5.9236,1.5701,-6.7008,-1.2017,-0.2762,0.3204,-6.5448,-7.3097,-7.3318,classical
classical.00032,-498.5862,177.5262,11.2037,27.6444,-2.8290,5.1014,-6.5982,-1.0580,-4.1484,-3.0514,-9.9108,-8.5719,-9.1897,classical
classical.00033,-429.0514,120.7798,-1.7063,17.9476,7.7460,-2.0536,-3.9378,-2.5318,-0.5894,-0.8104,-9.0588,-3.6804,-0.9730,classical
classical.00034,-309.2473,138.6698,-29.7142,33.6229,-0.3584,5.2225,-6.3227,3.2711,-6.6994,-0.6901,-13.2378,-8.5291,-9.6629,classical
classical.00035,-319.6929,166.0107,-11.9399,27.2775,7.8256,1.7427,-7.8558,-2.3968,-2.8985,-2.5164,-11.3737,-4.6124,-4.4908,classical
classical.00036,-419.2956,127.4140,-3.7946,23.1944,-4.3157,4.0506,-8.1954,-7.6088,-7.0692,-2.9154,-7.4074,-5.4300,-9.0922,classical
classical.00037,-275.4006,125.3323,-41.0228,24.5887,-4.7485,-4.2675,-14.9832,-5.0470,-4.9883,2.4668,-10.8838,-8.0203,-5.1559,classical
classical.00038,-275.9753,146.3466,-36.5854,24.1991,-2.5318,-2.1613,-13.2959,-6.5203,-9.4017,-3.1178,-11.5404,-4.1953,-1.6864,classical
classical.00039,-409.4999,116.7966,-16.1840,11.6910,0.7109,5.9916,-4.2530,0.4995,0.4316,12.5917,-1.1124,-1.1502,4.9588,classical
classical.00040,-358.7328,129.0866,-30.3822,19.8778,-10.3650,-0.6521,-10.5996,1.5455,-3.9653,1.8693,-8.8408,-7.1705,-8.2112,classical
classical.00041,-368.4896,124.2681,-31.5698,17.5948,2.3218,-5.9499,-11.8036,-5.5250,-5.3942,-1.3068,-8.4288,-3.6205,2.2089,classical
classical.00042,-160.6461,164.2802,-48.7553,1.6628,-7.6112,-2.6623,-11.0432,-6.9962,-8.0967,1.2531,-5.3675,-4.1398,-5.4260,classical
classical.00043,-249.6343,161.5972,10.1595,-3.0664,-0.5781,-2.0630,-12.1962,-8.6141,-14.6394,-12.0502,-12.2995,-7.1626,-7.8784,classical
classical.00044,-402.1960,154.0128,-15.2343,15.3064,-3.0714,-3.1698,-9.7626,-17.3151,-12.3082,-7.9110,-7.1062,-0.2998,1.5315,classical
classical.00045,-171.1052,156.9306,-21.8498,5.3374,-4.0549,-3.7208,-8.9068,-4.9329,-7.9122,-5.3972,-9.3347,-6.6018,-7.7929,classical
classical.00046,-85.2814,118.4472,-31.4814,20.2851,-4.4191,6.9128,-10.9560,-1.6264,-7.3651,-3.0170,-4.4398,-1.4138,-4.2536,classical
classical.00047,-436.8584,154.1332,-19.9032,20.1828,3.1712,0.4617,-6.5281,-4.6115,-10.0691,-6.1591,-4.5326,-2.7664,-5.2211,classical
classical.00048,-124.0537,148.6180,-21.5585,17.4112,-1.4365,4.1258,-7.0230,-5.1292,-5.8420,5.0068,-6.2189,-1.9009,-0.9008,classical
classical.00049,-98.3233,98.3569,-20.4918,18.8181,-2.0967,2.6636,-7.3099,-3.5869,-7.9861,-1.9163,-4.7275,0.6271,-2.5913,classical
classical.00050,-449.5278,151.5198,-12.7617,44.2658,6.2363,4.0532,-1.4832,-1.6189,-2.4894,-4.2913,-9.6674,-1.3484,0.1359,classical
classical.00051,-230.2446,119.1513,-1.0510,28.3879,10.0087,16.1288,4.7917,6.1909,0.9474,5.9126,-1.1783,3.5740,-2.1004,classical
classical.00052,-186.6320,86.6454,-15.7276,14.7368,-2.2047,6.2561,-0.8921,0.6570,-6.0924,-5.2240,-7.8796,-1.7269,-4.7043,classical
classical.00053,-121.8143,149.6727,-42.8460,24.4890,-5.4123,10.6677,-2.8281,0.7872,-6.3994,4.4830,-1.2244,1.2598,-1.1985,classical
classical.00054,-108.0353,127.2729,-44.9522,31.2436,4.3558,-4.9459,-15.8775,14.6306,-7.7887,-1.2106,2.8315,17.2720,-4.0975,classical
classical.00055,-483.9385,144.2075,1.3752,8.0908,4.9308,-2.3150,-2.7472,-6.8433,-10.1534,-8.0642,-7.1457,-10.5536,-7.7828,classical
classical.00056,-81.0688,129.0520,-42.4516,33.1411,5.6868,-6.5066,-2.2729,7.4033,-18.7093,2.4769,3.7386,1.8881,-10.0709,classical
classical.00057,-367.0796,112.8555,-18.7536,10.1801,-1.6129,3.7999,0.9237,5.0653,-5.3642,-9.5139,-8.4926,-1.7883,1.2849,classical
classical.00058,-349.9388,161.8268,-3.3702,14.1954,5.7717,3.5260,2.9640,-7.1136,-7.9146,-0.3415,2.8591,-2.4902,-6.7818,classical
classical.00059,-197.1921,137.4040,-34.1560,25.3627,-5.2772,-2.7752,-9.4982,-7.6090,-7.6528,-5.6661,-4.3799,-5.4246,-3.5349,classical
classical.00060,-166.3935,122.1194,-32.1115,16.6839,-5.3957,-2.4870,-9.8203,-4.9015,-6.9649,-4.5739,-6.6453,-5.4910,-5.3680,classical
classical.00061,-274.3594,148.3734,-20.3238,21.7919,7.9503,3.7862,-2.2285,-6.0847,-5.6242,-6.6962,-5.9121,-4.5888,-1.5351,classical
classical.00062,-305.4315,135.9377,-11.7671,18.2227,10.3687,3.0050,-5.5948,0.1487,-1.3512,-1.8730,-3.2113,-6.7462,-2.6941,classical
classical.00063,-465.9223,180.2021,56.6828,11.0313,5.8352,0.7342,-3.9624,-5.8854,-8.4620,-9.7840,-7.6926,-3.2547,-1.8574,classical
classical.00064,-498.7248,145.6916,46.5361,15.2654,3.0585,-0.8370,-5.2275,-6.2117,-3.8186,0.0785,2.7231,2.2217,0.2365,classical
classical.00065,-421.6165,172.8424,28.0522,-2.5625,-3.5846,-4.8655,-8.8935,-10.7040,-7.6810,-7.9558,-7.3246,-2.7090,-0.9145,classical
classical.00066,-429.1732,175.1746,31.8590,4.3020,1.0349,-5.7715,-9.4903,-11.2803,-10.5740,-8.6658,-6.3298,-1.6754,0.8259,classical
classical.00067,-413.4417,143.4787,31.3044,14.0245,1.5122,-2.2946,-6.4661,-8.1014,-5.9298,-4.4745,-2.7983,-0.8141,-1.2142,classical
classical.00068,-234.3954,130.2594,-39.5359,19.3393,-6.7989,-5.1373,-3.7140,-4.0322,-5.0722,-1.3706,-7.7488,-4.3799,0.4719,classical
